,id,Цитата,Автор
40,40,"Величайшая из книг — книга жизни, которую нельзя ни закрыть, ни снова открыть по своему произволу.",А. Ламартин
41,41,Уметь жить — к каждой капле вдохновения добавлять девяносто девять капель пота.,М. Ларни
42,42,"Кто не ценит жизни, тот пе достоин ее.",Леонардо да Винчи
43,43,Только с пользой прожитая жизнь долга.,Леонардо да Винчи
44,44,Искусство жить всегда слагалось в основном из умения глядеть вперед.,Л. М. Леонов
45,45,"Жить — значит не только меняться, но и оставаться собой.",П. Леру
46,46,"Жить — значит чувствовать, наслаждаться жизнью, чувствовать непрестанно повое, которое бы напоминало, что мы живем.",Н. И. Лобачевский
47,47,"Способ производства материальной жизни обуславливает социальный, политический и духовный процессы жизни вообще.","К. Маркс, Ф. Энгельс"
48,48,Уметь наслаждаться прожитой жизнью — значит жить дважды.,Марциал
49,49,"Мера жизни не в ее длительности, а в том, как вы ее использовали.",М. Монтень
50,50,"Жизнь сама по себе — ни благо, ни зло: она вместилище и блага, и зла, смотря по тому, во что вы сами превратили ее.",М. Монтень
51,51,"Жизнь — гора: поднимаешься медленно, спускаешься быстро.",Г. Мопассан
52,52,"Наша жизнь измеряется усилиями, которых она стоила нам.",Ф. Мориак
53,53,Жизнь добрых людей — вечная молодость.,Ш. Нодье
54,54,"Жизнь представляется нам поистине легкой только тогда, когда речь идет о других.",Ж. Норман
55,55,"Некоторые жизни напоминают отлив в морской гавани: чем дальше они уходят, тем больше грязи обнажается на дне.",О. О’Мэлли
56,56,"Самое дорогое у человека — это жизнь. Она дается ему один раз, и прожить ее надо так, чтобы не было мучительно больно за бесцельно прожитые годы, чтобы не жег позор за подленькое и мелочное прошлое и чтобы, умирая, смог сказать: вся жизнь и все силы были отданы самому прекрасному в мире — борьбе за освобождение человечества.",И. А. Островский
57,57,"Жизнь — не те дни, что прошли, а те, что запомнились.",П. А. Павленко
58,58,"Тому, кто живет ради жизни в веках, смерть не страшна.",У. Пенн
59,59,Жить на белом свете — значит постоянно бороться и постоянно побеждать.,Н. И. Пирогов
60,60,"Жизнь есть постоянный труд, и только тот понимает ее вполне но-человечески, кто смотрит на нее с этой точки зрения.",Д. П. Писарев
61,61,"Неожиданное случается в жизни чаще, чем ожидаемое.",Плавт
62,62,"Жизнь сама по себе коротка, но когда она несчастлива, то кажется долгой.",Публилий Сир
63,63,"Жизнь дана человеку в виде займа, а не (вечного) дара.",Публилий Сир
64,64,"Плохо живут те, которые всю жизнь лишь собираются жить.",Публилий Сир
65,65,"Жизнь сама но себе такая добродетель, что тот, кто лишен се, если даже наделен всеми прочими добродетелями, никогда не будет настоящим человеком.",Р. Роллан
66,66,"Тот не человек, кто не боролся с жизнью и не оставил в ее логове клочьев своей шерсти.",Р. Роллан
67,67,"Ничто не кончено для того, кто жив.",Р. Роллан
68,68,Даже в самой безнадежности борьба остается надежной.,Р. Роллан
69,69,"Любить что-то больше, чем жизнь,— значит сделать жизнь чем-то больше, чем она есть.",Ж. Ростан
70,70,"Наша жизнь проходит в стремлениях к тому, чего у нас нет, и в сожалении о том, чего у нас больше не будет.",Ж. Ру
71,71,"Жить — это не значит дышать, это значит действовать. Не тот человек больше всего жил, который может насчитать больше лет, а тот, кто больше всего чувствовал жизнь.",Ж.-Ж. Руссо
72,72,Сама по себе жизнь ничего не значит: цена ее зависит от ее употребления.,Ж.-Ж. Руссо
73,73,"Не оценишь сладость жизни, не вкусивши горечь бед.",Ш. Руставели
74,74,"Два раза не живут, а много и таких, которые и одного жить не умеют.",Ф. Рюккерт
75,75,Жизнь не зрелище и не праздник; жизнь — трудное занятие.,Д. Сантаяна
76,76,"Жизнь, как пьеса в театре: важно не то, сколько она длится, а насколько хорошо сыграна.",Сенека Младший
77,77,"Важно не то, долго ли, а правильно ли ты прожил.",Сенека Младший
78,78,"Как басня, так и жизнь ценится не за длину, но за содержание.",Сенека Младший
79,79,"Пока мы откладываем жизнь, она проходит.",Сенека Младший
80,80,"Хотя человеческой жизни нет цены, мы всегда поступаем так, словно существует нечто еще более ценное.",А. Сент-Экяюпери
81,81,"Никакой человек в мире не родится готовым, то есть вполне сформировавшимся, но всякая его жизнь есть не что иное, как беспрерывно движущееся развитие, беспрестанное формирование.",В. Г. Белинский
82,82,"Хороню быть ученым, поэтом, воином, законодателем и проч., но худо не быть при этом человеком.",В. Г. Белинский
83,83,Человек всегда был и будет самым любопытнейшим явлением для человека.,В. Г. Белинский
84,84,Человечество — вот в чем бессмертие смертного человека.,Л. Берне
85,85,"Достаточно мгновения, чтобы стать героем, но необходима целая жизнь, чтобы стать достойным человеком.",П. Брюла
86,86,Человек рождается должником человеческого общества.,Л. Буржуа
87,87,Человек — служитель и истолкователь природы.,Ф. Бэкон
88,88,"Человек сложнее, бесконечно сложнее, чем его мысль.",П. Валери
89,89,"Человек не станет господином природы, пока он не стал господином самого себя.",Г. Гегель
90,90,"Люди не рождаются, а становятся теми, кто они есть.",К. Гельвеций
91,91,"Человек только тогда человек, когда старается быть человеком.",А. Гелъман
92,92,Все стремления и усилия природы завершаются человеком.,А. И. Герцеп
93,93,Быть человеком — значит быть борцом.,И. Гёте
94,94,"Человек определяется не только прирожденными качествами, но и приобретенными.",И. Гёте
95,95,"Человек — это восприимчивое, чувствующее, разумное и рассудительное существо, стремящееся к самосохранению и счастью.",П. Гольбах
96,96,"Самое чудесное, самое высокое создание в мире — это человек.",М. Горький
97,97,"Люди, которых понимаешь сразу, люди без остатка — неинтересны. Человек должен вмещать в себя, по возможности, все, плюс — еще нечто.",М. Горький
98,98,"До той поры, пока мы не научимся любоваться человеком, как самым красивым и чудесным явлением на нашей планете, до той поры мы не освободимся от мерзости и лжи нашей жизни.",М. Горький
99,99,Превосходная должность — быть человеком на земле.,М. Г орький
100,100,"В каждом человеке скрыта мудрая сила строителя, и нужно ей дать волю развиться и расцвести.",М. Горький
101,101,"Человек есть вселенная, и да здравствует вовеки он, носящий в себе весь мир.",М. Горький
102,102,"Я не знаю ничего лучше, сложнее, интереснее человека.",М. Горький
103,103,"Для человека нет ничего более интересного в мире, чем люди.",В. Гумбольдт
104,104,"Назначение человека именно то, чтоб делать добро.",В. И. Даль
105,105,"Быть хорошим человеком — значит не только не делать несправедливости, но и не желать этого.",Демокрит
106,106,"Хорошими людьми становятся больше от упражнения, чем от природы.",Демокрит
107,107,"Человека нужно оценивать не только но его делам, но и по его стремлениям.",Демокрит
108,108,"Лучший среди людей тот, кто больше приносит пользы другим.",А. Джами
109,109,"Человек — целый мир, было бы только основное побуждение в нем благородно.",Ф. М.Достоевский
110,110,"Осмыслить и прочувствовать можно и верно и разом, но сделаться человеком нельзя разом, а надо вглядеться в человека.",Ф. М. Достоевский
111,111,"При мысли великой, что я человек, всегда возвышаюсь душою.",В. А. Жуковский
112,112,"Всякий человек есть история, не похожая ни на какую другую.",А. Каррель
113,113,"Нет для человека иного мира, как в единении со всеми людьми.",И. Клодель
114,114,"Люди не ангелы, сотканные из одного света, но и не скоты, которых следует гнать в стойло.",В. Г. Короленко
115,115,В любом человеке есть все человеческое: самое лучшее и самое худшее.,Л. Лавелъ
116,116,"Человек может оставаться собой лишь в том случае, если он неустанно стремится над собой возвыситься.",Ж. Лашелье
117,117,"О человеке судят не по тому, что он о себе говорит или думает, а по тому, что он делает.",В. И. Ленин
118,118,Именно человек призван внести разумность в действия природы.,Л. М. Леонов
119,119,В каждом человеке есть что-то от всех людей.,Г. Лихтенберг
120,120,"Каждый видит, каким ты кажешься, мало кто чувствует, каков ты есть.",И. Макиавелли
121,121,"Человек — это загадка, и в основе человечности всегда лежит преклонение перед этой загадкой.",Т. Манн
122,122,"Быть, а не казаться — девиз, который должен носить в своем сердце каждый гражданин, любящий свою родину. Служить правде — как в научном, так и в нравственном смысле этого слова. Быть человеком.",И. И. Пирогов
123,123,"Во всей человеческой жизни нет ни одной минуты, в которую было бы позволительно относиться к человеку легкомысленно и беспечно.",Д. И. Писарев
124,124,"Пока люди не знают сил природы, они слепо подчиняются им, а раз они узнали их, тогда силы природы подчиняются людям.",Г. В. Плеханов
125,125,Каждый человек отличается от другого и с каждым днем отличается от себя.,А. Поп
126,126,"Все прекрасное на земле — от солнца, и все хорошее — от человека.",М. М. Пришвин
127,127,"Каждый человек стоит ровно столько, во сколько он сам себя оценивает.",Ф- Рабле
128,128,"Человечество — мера всех вещей, как эстетическая, так и научная.",Ж. Равессон-Мольен
129,129,"Только тогда станешь человеком, когда научишься видеть человека в другом.",А. И. Радищев
130,130,"Нужно, чтобы человек понял, что он — творец и хозяин мира, что на нем ответственность за все несчастья земли и что ему же принадлежит слава за все хорошее, что есть в жизни.",Р- Роллан
131,131,"Человек — царь земли, на которой живет.",Ж.-Ж. Руссо
132,132,"Исполнимся смирения за весь род человеческий, чтобы иметь возможность гордиться человеком.",Ж.-Ж. Руссо
133,133,Быть человеком — это чувствовать свою ответственность.,А. Септ-Экзюпери
134,134,"Надо много пережить, чтобы стать человеком.",А. Сент-Экзюпери
135,135,Каждый человек — творец собственного благополучия.,Р- Стил
136,136,"Человек таков, каково его представление о счастье.",В. А. Сухомлинский
137,137,"Мы живем в такое время, когда ценность представляет только борющийся человек.",Э. Тельман
138,138,"Я человек, и ничто человеческое мне не чуждо.",Теренций
139,139,"Самый лучший человек тот, который живет преимущественно своими мыслями и чужими чувствами, самый худший сорт человека — который живет чужими мыслями и своими чувствами. Из различных сочетаний этих четырех основ, мотивов деятельности — все различие людей. Люди, живущие только своими чувствами,— это звери.",Н. Толстой
140,140,"Чем больше человек дает людям и меньше требует себе, тем он лучше; чем меньше дает другим и больше себе требует, тем он хуже.",Л. Н. Толстой
141,141,"Человек подобен дроби, числитель есть то, что он есть, а знаменатель то, что он о себе думает. Чем больше знаменатель, тем меньше дробь.",Л. Н. Толстой
142,142,Возможности человека не измеримы до сих пор. Судить о них по предыдущему опыту мы не можем — человек еще так мало дерзал.,Г. Торо
143,143,"Люди рождены для побед, а не для поражений.",Г. Торо
144,144,"Как могла бы природа быть столь светлой и прекрасной, если бы предназначенье человека не было таким же?",Г. Торо
145,145,"Не плоть, а дух делает человека человеком.",Л. Фейербах
146,146,"Измениться не может никто, но стать лучше может  каждый.",Э. Фейхтерслебен
147,147,"Вечно надеяться, никогда не отчаиваться — таково свойство человека большой души.",Луций Флор
148,148,"И верю, что человек не только вытерпит все,— человек победит!",Фолкнер
149,149,"Человек редко может заставить себя любить, но заставить себя уважать может всегда.",Б. Фонтенелъ
150,150,"Природа, создав людей такими, каковы они есть, даровала им великое утешение от многих зол, наделив их семьей и родиной.",Фосколо
151,151,"Если человек зависит от природы, то и она от него зависит: она его сделала — он се переделывает.",А. Франс
152,152,В душе каждого человека находится миниатюрный портрет его народа.,Г. Фрейтаг
153,153,"Человека можно уничтожить, но его нельзя победить.",Э. Хемингуэй
154,154,"Лишь тот обогащает человечество, кто помогает ему познать себя, кто углубляет его творческое сознание.",С. Цвейг
155,155,"Каждый человек — отражение своего внутреннего мира. Как человек мыслит, такой он и есть в жизни.",Цицерон
156,156,"Кто не изучил человека в самом себе, никогда не достигнет глубокого знания людей.",И. Г. Чернышевский
157,157,"Неудовлетворенность — источник не только страда­ний, но и прогресса в жизни отдельных людей и целых народов.",Б. Ауэрбах
158,158,Подверженность изменениям — удел всего живого.,Н. Буало
159,159,Прогресс — закон природы.,Ф. Вольтер
160,160,"У всякой эпохи свои задачи, и их решение обеспечивает прогресс человечества.",Г. Гейне
161,161,"Все течет, ничего не стоит на месте.",Гераклит
162,162,"Тот, кто не смотрит вперед, оказывается позади.",Д. Герберт
163,163,"Время никогда не стоит, жизнь постоянно развивает­ся, человеческие взаимоотношения видоизменяются каждые пятьдесят лет.",И. Гёте
164,164,"Хотя мир в целом продвигается вперед, молодежи приходится всякий раз начинать сначала.",И. Гёте
165,165,"Цивилизация — ужасное растение, которое не растет и не расцветает, пока его не польют слезами и кровью.",Граф
166,166,Прогресс — это способ человеческого бытия.,Гюго
167,167,Дерзать — этой ценой дается прогресс.,В. Гюго
168,168,Жить — значит непрерывно двигаться вперед.,С. Джонсон
169,169,Даже ничтожный прогресс требует долгих лет мучи­тельного вызревания.,Э. Золя
170,170,"Жизнь идет вперед противоречиями, и живые проти­воречия во много раз богаче, разностороннее, содержательнее, чем уму человека спервоначалу кажется.",В. Ленин
171,171,"Изменяться, сохраняясь, или продолжаться, меня­ясь, вот что поистине составляет нормальную жизнь человека и, следовательно, прогресс.",П. Л еру
172,172,Каждый шаг действительного движения важнее дюжины программ.,К. Маркс
173,173,Устаревшее стремится восстановиться и упрочиться в рамках вновь возникших форм.,К. Маркс
174,174,"Все текуче, и нет ничего неподвижного в мире.",Овидий
175,175,"То, что должно вознестись на самый верх, начинается в самом низу.",Публилий Сир
176,176,Без движения — жизнь только летаргический сон.,Ж.-Ж. Руссо
177,177,"Прогресс — не случайность, а необходимость.",Г. Спенсер
178,178,"Тот, кто искореняет свои ошибки и преодолевает недостатки, энергично и постоянно продвигаясь вперед, достигнет больших высот в своем развитии.",Э. Тельман
179,179,"У человечества есть только два пути: или прогресс, или деградация; консерватизм в чистом виде противоре­чит сути законов вселенной.",А. Уайтхед
180,180,Единственный путь к достижению прочной устой­чивости жизни — непрестанное движение вперед.,Г. Уоллес
181,181,"Прогресс наук и машин — это полезное средство, но единственной целью цивилизации является развитие человека.",Э. Флайано
182,182,"Прогресс приведет в конце концов к смягчению нравов: шипы боярышника, пересаженного из сухой почвы в жирную, превращаются в цветы.",А. Франс
183,183,"Всегда, прежде чем может быть возведено что-то новое, должен быть поколеблен авторитет уже существующего.",С- Цвейг
184,184,"Прогресс основывается на умственном развитии, ко­ренная сторона его состоит в успехах и развитии знаний.",И. Г. Чернышевский
185,185,Возражения против прогресса всегда сводились к обвинениям в аморальности.,Б. Шоу
186,186,"Беспокойство — это неудовлетворенность, а неудо­влетворенность — первейшее условие прогресса.",Т. Эдисон
187,187,Традиция — это прогресс в минувшем; в будущем прогресс станет традицией.,Э. Эррио
188,188,"Если бы ты хотел этого, ты не можешь отделить твою жизнь от человечества. Ты живешь в нем, им и для него. Мы все сотворены для взаимодействия, как ноги, руки, глаза.",Марк Аврелий
189,189,"Человек тогда человек, когда он со всеми вместе.",Ж. Амаду
190,190,Человек по своей природе есть существо общест­венное.,Аристотель
191,191,"Два человека могут спасти друг друга там, где один погибает.",О. Бальзак
192,192,Благо отдельного человека или отдельной нации связано с общим благом для всех.,А. Барбюс
193,193,"Социализм не уничтожает личности, наоборот, социализм должен быть и есть совершенствование личности.",А. Барбюс
194,194,"Личность, сливаясь с коллективом, не теряет себя. Напротив, она достигает в коллективе высшей ступени сознания и совершенствования.",А. Барбюс
195,195,"Буржуазное общество не вызывает ни одного нового отрадного явления, у которого не было бы своей теневой стороны.",А. Бебель
196,196,"Создает человека природа, но развивает и образует его общество.",В. Г. Белинский
197,197,"Живой человек носит в своем сердце, в своей крови жизнь общества: он болеет его недугами, мучится его страданиями, цветет его здоровьем, блаженствует его счастьем вне своих собственных, своих личных обстоятельств.",Б. Г. Белинский
198,198,Человек становится человеком только среди людей.,И. Бехер
199,199,Человек создан для общества. Он не способен и не имеет мужества жить один.,"У. Блэкстоун,"
200,200,"В хорошем обществе добрые должны служить образцом, а злые — назиданием.",Л. Бональд
201,201,"Человек существует лишь в обществе, и общество формирует его только для себя.",Л. Бональд
202,202,"Человеческое общество, коим правит произвол, похо­же на стадо подъяремных волов, работающих на хозяина.",Ф. Вольтер
203,203,Бюрократ — это дитя несбалансированных взаимо­зависимостей в обществе.,А. Гельман
204,204,"Человек не может жить в уединении, ему нужно общество.",И. Гёте
205,205,"Нехорошо, когда человек остается сам с собой, а осо­бенно, когда он работает в одиночку; если он хочет чего либо достичь, ему нужны участие и моральная под­держка.",И. Гёте
206,206,"Живешь, собственно, только тогда, когда пользуешь­ся расположением других.",И. Гёте
207,207,Лишь в людях себя познать способен человек.,И. Гёте
208,208,"Без общества человек был бы жалок, испытывая не­достаток в побуждениях к совершенствованию. Но что важнее всего — без общества наше совершенство было бы почти бесцельно.",У. Годвин
209,209,"Коллектив создает человека совершенно иной инди­видуальной психики, более активной, стойкой и черпающей волю к действию, волю к строению жизни из воли коллектива.",М. Горький
210,210,"Человек должен быть другом людей,— он обязан им всем, что есть у него и в нем.",М. Горький
211,211,И всегда и всюду на протяжении истории — челове­ка создавал народ.,М. Горький
212,212,"Человек создан, чтобы жить в обществе; разлучите его с ним, изолируйте его — и мысли его спутаются, характер ожесточится, сотни нелепых страстей зародят­ся в его душе, сумасбродные идеи пустят ростки в его мозгу, как дикий терновник среди пустыря.",Д. Дидро
213,213,Уметь работать в коллективе — это в первую очередь правильно воспринимать критику и не стесняться критиковать ошибки другого.,Н. Д. Зелинский
214,214,"Духовное здоровье общества определяется не сте­пенью его сегодняшнего благосостояния, а степенью его реально ощущаемого движения к добру и правде.",Фазиль Искандер
215,215,"Тот, кто воображает, что может обойтись без других людей, очень ошибается; но тот, кто воображает, что без него не могут обойтись люди, ошибается еще больше.",Ф. Ларошфуко
216,216,Жить в обществе и быть свободным от общества нельзя.,В. И. Ленин
217,217,"Чем шире коллектив, перспективы которого являют­ся для человека перспективами личными, тем человек красивее и выше.",А. С. Макаренко
218,218,"Экономические эпохи различаются не тем, что про­изводится, а тем, как производится, какими средствами.",К. Маркс
219,219,"Если человек но природе своей общественное сущест­во, то он, стало быть, только в обществе может развить свою истинную природу.",К. Маркс
220,220,"Мы знаем, что отдельный человек слаб, но мы знаем также, что целое — это сила.",К. Маркс
221,221,История всех до сих пор существовавших обществ была историей борьбы классов.,К. Маркс
222,222,"Человек — не абстрактное, где-то вне мира ютящееся существо. Человек — это мир человека, государство, об­щество.","Маркс, Ф. Энгельс"
223,223,"Только в коллективе индивид получает средства, да­ющие ему возможность всестороннего развития своих задатков, и, следовательно, только в коллективе возмож­на личная свобода.","К. Маркс, Ф. Энгельс"
224,224,"Человек тем более совершенен, чем более он полезен для широкого круга интересов общественных, государ­ственных.",Д. И. Менделеев
225,225,"Как бы талантлив человек ни был, но коллектив всегда умнее и мощнее.",II. А. Островский
226,226,"В человеке при появлении его на свет нет ни поло­жительного зла, ни положительного добра, а есть только возможность и способность к тому и другому, разви­ваемые в нем в зависимости от среды, в которой он живет, и воспитания, которое он получает в семье и обществе.",Р.Оуэн
227,227,"Человек страдает невыносимо, если он принужден жить только с самим собою и думать только о себе.",Б. Паскаль
228,228,Личные потребности должны уступать место общест­венным.,Плиний Младший
229,229,"В каждый момент нашей жизни мы должны старать­ся отыскивать не то, что нас отделяет от других людей, а то, что у нас с ними общего.",Д. Рескин
230,230,"Заботы о личном благе вполне естественны, и нельзя их скидывать со счетов. Но если заботиться только об этом, пренебрегая общественным благом и защитой всего человеческого общества, жизнь станет постыдной, мел­кой и — прямо скажу — гнусной.",Р. Роллан
231,231,"Одиночество не способствует нормальному крово­обращению, нуждающемуся в более обширном организме. Надо уметь сливаться и с коллективом, что не помешает оставаться самим собой.",Р. Роллан
232,232,"Нет ничего пагубнее, чем влияние частных инте­ресов на общественные дела.",Ж.-Ж. Руссо
233,233,"Если бы не существовало таких точек, в которых сходились бы интересы всех, не могло бы быть и речи о каком бы то ни было обществе.",Ж.-Ж. Руссо
234,234,Единственная настоящая роскошь — это роскошь че­ловеческого общения.,А. Сент-Экзюпери
235,235,Человек не может жить один. Высшее счастье и радость человеческая — общение с другими людьми.,В. А. Сухомлинский
236,236,Коллектив — это не какая-то безликая масса. Он су­ществует как богатство индивидуальностей.,В. А. Сухомлинский
237,237,"Богатство общества складывается из многообразия составляющих его индивидов, потому что высшая цель воспитания — сам человек.",В. А. Сухомлинский
238,238,"Забота о воспитательной силе коллектива — это за­бота о духовном обогащении и росте каждого члена коллектива, о богатстве отношений.",В. А. Сухомлинский
239,239,"Счастье личности вне общества невозможно, как не­возможна жизнь растения, выдернутого из земли и брошенного на бесплодный песок.",А.. Толстой
240,240,"Человек, отделяющий себя от других людей, лишает себя счастья, потому что чем больше он отделяет себя, тем хуже его жизнь.",Л. Н. Толстой
